tau,model,metric,mean,std,median,min,max,count
0.5,DecisionTree,complexity,1526.94,9135.109392288727,79.0,1.0,128943.0,600
0.5,DecisionTree,coverage,0.08361685436647862,0.0999127504922235,0.04687193807564183,0.0,0.4462264150943396,600
0.5,DecisionTree,losses,0.038717231554632775,0.0172538611073121,0.03864999291907932,0.00097598064282136,0.10714285714285714,600
0.5,DecisionTree,time_all,7.8567139482498165,47.33363453282346,0.09617531299591064,0.024160385131835938,412.0721004009247,600
0.5,DecisionTree,time_fit,0.5269214228789012,3.2296987289302193,0.014584898948669434,0.0014407634735107422,31.157655954360962,600
0.5,LightGBM,coverage,0.05873111184846101,0.062021690948374626,0.040000000000000036,0.0,0.4,600
0.5,LightGBM,losses,0.04209062268989659,0.02173313628271679,0.03691282923790582,0.0040629802137258425,0.15080826683036627,600
0.5,LightGBM,time_all,0.6037114500999451,1.0521136694439008,0.2552523612976074,0.030560016632080078,7.591569900512695,600
0.5,LightGBM,time_fit,0.1172874399026235,0.21579869647004907,0.053975701332092285,0.0036764144897460938,1.6090795993804932,600
0.5,LinearQuantile,complexity,19.891666666666666,20.60025602112221,11.0,2.0,124.0,600
0.5,LinearQuantile,coverage,0.05901136699197744,0.07364251196750918,0.03999999999999998,0.0,0.5,600
0.5,LinearQuantile,losses,0.0579678480332801,0.029411036693953303,0.05817874459083577,4.652456921086764e-14,0.23018869956307922,600
0.5,LinearQuantile,time_all,71.27909372886022,495.95899515230195,0.7321350574493408,0.027304649353027344,5742.128815412521,600
0.5,LinearQuantile,time_fit,6.01254908045133,48.4756657300295,0.05863165855407715,0.0019073486328125,776.25634598732,600
0.5,SQR,complexity,10.101666666666667,4.500936339857294,11.0,2.0,21.0,600
0.5,SQR,coverage,0.08154461382473206,0.08622870773370048,0.050000000000000044,0.0,0.5,600
0.5,SQR,losses,0.03278551235868266,0.023446313877122066,0.02496959756734874,0.0,0.2057188698991377,600
